,epoch,loss,n actions,sum loss
0,0,0.7529601454734802,14536.0,10945.0283203125
1,100,0.6892126202583313,14536.0,10018.39453125
2,200,0.6701510548591614,14536.0,9741.3154296875
3,300,0.652016818523407,14536.0,9477.716796875
4,400,0.6446457505226135,14536.0,9370.5703125
5,500,0.6409881711006165,14536.0,9317.404296875
6,600,0.6379942893981934,14536.0,9273.884765625
7,700,0.6347408890724182,14536.0,9226.59375
8,800,0.6308519840240479,14536.0,9170.064453125
9,900,0.6259368658065796,14536.0,9098.6181640625
10,1000,0.6196739077568054,14536.0,9007.580078125
11,1100,0.6124709844589233,14536.0,8902.8779296875
12,1200,0.6056674718856812,14536.0,8803.982421875
13,1300,0.598891019821167,14536.0,8705.4794921875
14,1400,0.5926154255867004,14536.0,8614.2578125
15,1500,0.5883488655090332,14536.0,8552.2392578125
16,1600,0.5861865878105164,14536.0,8520.80859375
17,1700,0.5848537087440491,14536.0,8501.43359375
18,1800,0.5838670134544373,14536.0,8487.0908203125
19,1900,0.5830966234207153,14536.0,8475.892578125
20,2000,0.582464873790741,14536.0,8466.708984375
21,2100,0.5819354057312012,14536.0,8459.0126953125
22,2200,0.5814990401268005,14536.0,8452.669921875
23,2300,0.581159234046936,14536.0,8447.73046875
24,2400,0.5809161067008972,14536.0,8444.1962890625
25,2500,0.580761730670929,14536.0,8441.9521484375
26,2600,0.5806666016578674,14536.0,8440.5693359375
27,2700,0.580585241317749,14536.0,8439.38671875
28,2800,0.5804970860481262,14536.0,8438.10546875
29,2900,0.5804091095924377,14536.0,8436.8271484375
30,3000,0.5803287625312805,14536.0,8435.6591796875
31,3100,0.5802537798881531,14536.0,8434.5693359375
32,3200,0.5801765322685242,14536.0,8433.4462890625
33,3300,0.58008873462677,14536.0,8432.169921875
34,3400,0.5799853205680847,14536.0,8430.6669921875
35,3500,0.5798665285110474,14536.0,8428.939453125
36,3600,0.5797366499900818,14536.0,8427.0517578125
37,3700,0.5796010494232178,14536.0,8425.0810546875
38,3800,0.5794638991355896,14536.0,8423.0869140625
39,3900,0.5793266296386719,14536.0,8421.091796875
40,4000,0.5791918039321899,14536.0,8419.1318359375
41,4100,0.5790699124336243,14536.0,8417.3603515625
42,4200,0.5789631009101868,14536.0,8415.8076171875
43,4300,0.578866183757782,14536.0,8414.3984375
44,4400,0.5787806510925293,14536.0,8413.1552734375
45,4500,0.5787040591239929,14536.0,8412.0419921875
46,4600,0.5786358714103699,14536.0,8411.05078125
47,4700,0.578575074672699,14536.0,8410.1669921875
48,4800,0.5785225033760071,14536.0,8409.4033203125
49,4900,0.5785182118415833,14536.0,8409.3408203125
50,5000,0.578417181968689,14536.0,8407.8720703125
51,5100,0.5783615708351135,14536.0,8407.0634765625
52,5200,0.5783063173294067,14536.0,8406.2607421875
53,5300,0.5782644152641296,14536.0,8405.6513671875
54,5400,0.578220784664154,14536.0,8405.017578125
55,5500,0.5781855583190918,14536.0,8404.5048828125
56,5600,0.5781463384628296,14536.0,8403.935546875
57,5700,0.5781064629554749,14536.0,8403.35546875
58,5800,0.5780664682388306,14536.0,8402.7744140625
59,5900,0.5780304074287415,14536.0,8402.25
60,6000,0.5779862403869629,14536.0,8401.6083984375
61,6100,0.577954888343811,14536.0,8401.15234375
62,6200,0.5779129862785339,14536.0,8400.54296875
63,6300,0.5778887271881104,14536.0,8400.1904296875
64,6400,0.5778530240058899,14536.0,8399.671875
65,6500,0.577907383441925,14536.0,8400.4619140625
66,6600,0.5778126120567322,14536.0,8399.083984375
67,6700,0.577797532081604,14536.0,8398.865234375
68,6800,0.5777797698974609,14536.0,8398.6064453125
69,6900,0.5777633786201477,14536.0,8398.3681640625
70,7000,0.5777316093444824,14536.0,8397.90625
71,7100,0.5777175426483154,14536.0,8397.7021484375
72,7200,0.5777259469032288,14536.0,8397.82421875
73,7300,0.5776838660240173,14536.0,8397.212890625
74,7400,0.5776568651199341,14536.0,8396.8203125
75,7500,0.5776621103286743,14536.0,8396.896484375
76,7600,0.5776342153549194,14536.0,8396.4912109375
77,7700,0.5776500701904297,14536.0,8396.7216796875
78,7800,0.577644944190979,14536.0,8396.646484375
79,7900,0.5776395797729492,14536.0,8396.5693359375
80,8000,0.5776416063308716,14536.0,8396.5986328125
81,8100,0.5776415467262268,14536.0,8396.59765625
82,8200,0.577645480632782,14536.0,8396.654296875
83,8300,0.5776434540748596,14536.0,8396.625
84,8400,0.577653706073761,14536.0,8396.7744140625
85,8500,0.5776653289794922,14536.0,8396.943359375
86,8600,0.5777265429496765,14536.0,8397.8330078125
87,8700,0.5776745676994324,14536.0,8397.0771484375
88,8800,0.5776273608207703,14536.0,8396.3916015625
89,8900,0.5776854753494263,14536.0,8397.236328125
90,9000,0.5776826739311218,14536.0,8397.1953125
91,9100,0.5776383280754089,14536.0,8396.55078125
92,9200,0.577672004699707,14536.0,8397.0400390625
93,9300,0.5776793956756592,14536.0,8397.1474609375
94,9400,0.5776600241661072,14536.0,8396.8662109375
95,9500,0.5776633024215698,14536.0,8396.9140625
96,9600,0.5776596069335938,14536.0,8396.8603515625
97,9700,0.577660083770752,14536.0,8396.8671875
98,9800,0.5776498317718506,14536.0,8396.7177734375
99,9900,0.5776628255844116,14536.0,8396.9072265625
